accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,tn,fp,fn,tp,model,evaluation,fold
0.7306428571428571,0.7346137058053251,0.7216981132075472,0.7280986372485398,0.7306377487796731,0.7922443199165127,0.7846270773627009,0.18258405743485773,0.006703693606222194,1.0346639573655056,5180,1824,1947,5049,Decision Tree,5-fold CV,3
0.7319285714285715,0.7719268824417239,0.6579473985134362,0.710394320549425,0.7318863206159414,0.7985007097145175,0.7834999424481089,0.1820316222595736,0.013599443396140578,1.1028253667713892,5644,1360,2393,4603,Bagged Trees,5-fold CV,3
0.5907857142857142,0.7301126044315293,0.28730703259005147,0.41234998461380656,0.5906123969346603,0.6947889411555727,0.6722698093288443,0.2924788740568873,0.31868759784424255,0.3136338555833504,6261,743,4986,2010,Gaussian NB,5-fold CV,3
0.7323571428571428,0.7838546217019046,0.641223556317896,0.705401368032078,0.7323050962628885,0.7995818937410265,0.783175700420184,0.18238442040615388,0.10829098389741099,1.1981772397030264,5767,1237,2510,4486,LACVE,5-fold CV,3
0.7156428571428571,0.7316735822959889,0.6805317324185248,0.7051766274161297,0.715622805101324,0.7800694587981907,0.7577173514963352,0.19383792457106208,-0.004350981318428424,1.1517037598834488,5258,1746,2235,4761,LR,5-fold CV,4
0.7256428571428571,0.7289217820345378,0.7179817038307604,0.7234103838121985,0.725638481841137,0.7849459093700929,0.7689001989734122,0.185928347683782,-0.016693264161693495,0.9807064909866813,5136,1868,1973,5023,Decision Tree,5-fold CV,4
0.7265714285714285,0.7606120434353406,0.6608061749571184,0.7072051399724645,0.7265338698886106,0.7935466876887144,0.7744228113326265,0.18490966036076725,-0.01517482708576233,1.044167921007223,5549,1455,2373,4623,Bagged Trees,5-fold CV,4
0.5922142857142857,0.7137163732979077,0.3071755288736421,0.4294993504546818,0.5920514994453876,0.6897271231762034,0.667188071021287,0.2813217553834126,0.19284393859259485,0.2723174331225333,6142,862,4847,2149,Gaussian NB,5-fold CV,4
0.729,0.770896785109983,0.6512292738707833,0.7060282039361536,0.728955584965089,0.7939169939320797,0.7712057694902994,0.18492530985202782,0.05743315499116243,1.1470842291060233,5650,1354,2440,4556,LACVE,5-fold CV,4
0.723908850632188,0.7428615766604594,0.6843459614010007,0.7124041967408289,0.7238834318712599,0.7884955150717511,0.769168056885156,0.19051652939218394,-0.0027672184870174226,1.1961708018324413,5347,1657,2208,4787,LR,5-fold CV,5
0.7254803914565326,0.7651413189771198,0.6501786990707649,0.7029909575701369,0.7254320108717616,0.7878264600357031,0.7762622953824669,0.18541925926807606,-0.011544308756427667,0.9982021210768728,5608,1396,2447,4548,Decision Tree,5-fold CV,5
0.7276234016715479,0.7586150845253576,0.6671908506075769,0.7099718566973454,0.7275845743614697,0.7951516931609386,0.777725470444047,0.18404899629923735,-0.008399440797601285,1.0655899761876013,5519,1485,2328,4667,Bagged Trees,5-fold CV,5
0.5948282020144297,0.7163886162904809,0.3130807719799857,0.43573418225228805,0.5946471821064977,0.6925853867227509,0.6704104085607429,0.27772716762519944,0.18759275632824293,0.27882978693806904,6137,867,4805,2190,Gaussian NB,5-fold CV,5
0.7327666261875848,0.767422748191979,0.6674767691208006,0.7139689578713969,0.7327246781069452,0.7966069628750895,0.7796158218144296,0.18367575968812272,0.062022967218300584,1.1677852603780767,5589,1415,2326,4669,LACVE,5-fold CV,5
